"binder";"docid";"class";"text"
"Tobacco800";"chw80e00_1";"FirstPage";"LORILLARD INC. • ONE PARK AVENUE. NEW YORK. N Y. 10016-5895 • (212) 545-3000                                                      January 6, 1990 Mr. Thomas G. Parson Manager, Trademark Licensing Harley-Davidson 3700 W. Juneau Avenue P.O. Box 653 Milwaukee, WI 53201 RE:    Harlev-Davidson  - POS  Material Dear Mr. Parson: Enclosed for your files are stats of samples of advertising material we have produced in support of Harley-Davidson cigarettes. These ads will run in Sunday Supplements in Portland, Oregon. Sincerely  Constahce Fassuliotis /ec Enclosure v.~ Linds 1 ey A. Pasheluk T. Mau                                     G. Telford"
"Tobacco800";"chw80e00_2";"NextPage";"92331503"
"Tobacco800";"cio55e00-page02-variant_1";"FirstPage";"I                                                        EXECUTIVE VICE PRESIDENT DIRECTOR OE MARKETING                                     John T. Landry IM HUP MORRIS                                                          U.S A                                         IOO PARK AVENUE,NEW YORK.N.Y. 10017 Apri / Dear Larry: Last year was, to say the least, a landmark year for Marlboro. During the last quarter of 1975, Marlboro became the largest selling cigarette in the industry, and is now the Number One Brand both in the United States and around the world. Reaching number one has been a long but most rewarding pro-cess, and is the result of much hard work on the part of many people here at Philip Morris. We recognize, however, that we would not have been able to reach this goal without the continued Cooperation of you and your people. As a token of our appreciation for your ongoing support and contribution to Marlboro1 s success, enclosed is a specially commissioned plate engraved with Charles M. Russell's sketch, ""Corozon Reared Straight Up. "" Russell's work represents the very best in frontier art, and makes an en-during comment about life in the Old West. We realize that in order to maintain Marlboro's leadership position and growth momentum, we must continue to rely on you for the kind of support we've received for the brand over the past 20 years. 204415946"
"Tobacco800";"cio55e00-page02-variant_2";"NextPage";"1976 promises to be another record year for Marlboro, and with. your help we know we can. make significant inroads in solving our one major ongoing problem -- out-of-stock. Once again, many thanks for your important contribution in making Marlboro Number One. Mr. John F. Roscoe President Short Stop, Inc. 1041 Sharry Circle Concord, California 94520 Sincerely"
"Tobacco800";"cir10f00";"FirstPage";"I p J!T Research Institute      10 Wejt 35 Street, Chicago. Illinois 6061 6 3 t 2/567-4000 r                                                       29 Sentember 1981 Dr. George E. Stungis Brown and Williamsor Tobacco Corporation 1600 West Hill Street LoulSVille, KY 40201 Subject:   Extension of Project No. IITRI-MQB141 ,            ""Pressure Measuring ApparatesH Dear George:       This fs in reference to the additional analytical work ccmducted by Dr. Ed Hahn of riTRI or our pmject with Brown and Williamson. You had aut'iorized this work verbally, and this letter seeks to confirm it prior to preperation of the final invoice.       I unde^stand that Dr. Hahn's draft report rret with your approval, and that we have sinee mailed you the final Version. I trust that this brings the project to a satisfactory conclusion fron your viewpoint.       The expense incurred by the additional study, over and above the ceilirig figure of $13,500 previously authorized by Brown and Williamson (since the start of the project), was 51,700. This brings the total expenditure on the project to $15,200.       Please confirm your authorizatior of the additional expenditure by sigriiq this letter in the space provided belcw and returning it to Mr. T. A. Dekker, Administrative Supervisor, IIIRI.       On behalf of the project tean, I would like to thank you for Sponsoring this project at IITRI. We have all enjoyed workirtg with you, and we hope you will keep us in mfnd cn future endeavors. SR:ps Accepted:^ Titlet jsLu ClLr^r Date: ft/'jf T/______________________                                                      Sincerely, /d-/ S. Rajagopal, Manager Mechanical Systems and Design Section"
"Tobacco800";"ciy01a00-page02_1";"FirstPage";"Bl.R Aoci P£9S ! POWHATTAK c//L>                 <J(jZmjzco-   (Sm                                                                                                            A DIVISION a- AMERICAN 0 flAND 5^ Ihjc. npxi7u^'                          rv enue.                                                    October 4, 1976 Mr.  J. J.  Banko,  Jr. Mr.  A. B.   Ashby Mr.  W. A.  Wilson Mr.  J. D.  Eason,  Jr. Gentlemen: The following are our plans for the introduction o£ PALL MALL Filter King Cigarettes in the entire Southern Field area. This introduction will make the brand available nationally.   Supervisors commence booking Orders                    -             October 18, 1976   Circular dated November 1 will be mailed - October 29, 1976   First deliveries to the     trade             -   November  1,                   1976   Period of offer          -  November 1 through    November  12, 1976   Start of advertising                          -            November    8,        1976   Sales Organization beging coverage            -   November  8,                   1976 Cartons of PALL MALL Filter King Cigarettes for use in booking introductory Orders have been shipped. A list of the shipments made to Supervisors in your Section is enclosed. We requested that these cigarettes be shipped to arrive during the week of October 4. The necessary tax stamps should be affixed before using these cigarettes to book Orders. Enclosed in this package are sufficient copies of the advance proof of the circular plus Plan of Operation Prior to Gpening Date and Military. Letter for you to distribute to your Supervisors at your Sales Meeting. Also enclosed are lists of accounts. Copies of the invoices for the cigarettes shipped for booking Orders were forwarded to you on September 13. We also shipped cartons of PALL MALL Filter King Cigarettes to you for distribution at your Sales Meetings to each Supervisor."
"Tobacco800";"ciy01a00-page02_2";"NextPage";" *' -     ' //’/ 'tsi*''/,?’.' ■ //'/VV'-/""//yv a u.y 2 October 4, 1976  Two cartons were provided for the Section Sales Manager and two cartons for each District Sales Manager for use at their Sales Meetings. These shipraents went to the following -  15 copies each of all pieces of point-of-sale will also be for-warded to you for use when holding meetings.  Complete instructions, copy of the Circular, Plan of Operation on Opening Date and Military Letter will be mailed to all members of the Sales Organization involved prior to the start of coverage.  No special Sales Routes will be furnished for this coverage.  20 cartons  Mr. J. J. Banko, Jr. c/o Atlanta Cigar co. Inc.* 361 Memorial Drive S.E. Atlanta, Georgia 30312  20 cartons  Mr. A. B. Ashby  c/o Tennessee Tobacco Co. Inc.  611 Scott Street  Memphis, Tennessee 38112  20 cartons  Mr. W. A. Wilson  c/o Eli Schepps Who. inc.  4024 Elm Street  Dallas, Texas 75226  18 cartons  Mr. J. D. Eason, Jr. c/o Charles E, Brauer Co. Inc. 21st & Cary Streets Richmond, Virginia 23260 Very truly yours,  EAW  Enclosures G. B. Newmark, Manager Sales Department  cc:   Mr.  J. Toledo                                        Route List  Mr. F. J. Tate Route List  Mr. A. J. Sosa Route List  Mr. D. E. weeks Route List  Mr. C. E. Henderson Route List  Mr. J. H. Wells Route List  Mr. W. C. Sloan Route List  Mr. T. F. McGuire /  Mr. P. F. Paoluccio  Mr. J. W. Edghill Route List  Mr. C. H. Müllen"
"Tobacco800";"cjb54c00";"FirstPage";"   r~     4*       7? 33*3""  ’r^^v.1  >                                      GiTKrJ             E?V>ggj             ""'.cy              t&wM              s^^lTSs  STC^TI    Tobacco           Institute          Testing            Laboratory          zw   5454 Wisconsin Ave. Chevy Chase. Maryland 20015 652-2042 HS' JE»' ssx. &od  #&$?■!< PSK^rpUSÄS          ""VT ■■'■■*'-' IV •V.TJIS p ,1  D^'^ssa  mwMfmßw  March 13, 1979  PSi.-üS&^wsa  F!£t®N3!33B8l  HSO&VifelHa  asÄsa^H   uu-r Or  Mr. John R. Wagner Lorillard  Post Office Box 216SS Greensboro, North Carolina  Dear John:    ** V.. *■<  27420^ &  A'-'CU'       The cigarettes you supplied were tested over a five day period. The results, along with results for our American supplied monitor, appear below. Please advise us if we may be of further help.                   TAR    NICOTINE  WATER      TPM    PUFF COUI  American     Y  19.2+0.3 1.39+0.03 4.6+0.2 25. 210.5 9. 2+0. 2  Monitor      S  0.7      0.06      0.5     1.2       0.5        (supplied by CV 3.5      4.1       10.9    4.6       5.2         Lorillard)                                                        n = 20                                                       Lorillard    X  17.3+0.3 1.2810.02 3.9+0.2 22.5+0.5  7. 9+0.1   Monitor      s  0.7      0.05      0.4     1.1       0.2           n = 20    CV 4.3      4.1       11.2    4.9       2.6        American     X  19.410.2 1.4010.02 4.710.2 25.4+0.4  9.010.1    Monitor      s  0.7      0.05      0. 5    1.1       0.3        (supplied by CV 3.4      3.7       11.3    4.5       2.8        TITL) n - 40                                     Sincerely, WPD/pk                             William P. Daigle $■{(£ F              l/J             /£            p/Zo/3Cc7vi StCL S/tre-ccr CeAJZufzS ) aJ                      o pt  on  o  o  o  h*  w  ä"
"Tobacco800";"cji44a00";"FirstPage";"ShookHardy&Bacon January 20, 1995 FEDERAL EXPREitf3 TO:   ETS/IAQ  Current  Developments  Report  Distribution            Enclosed you will find a copy of the most recent issue of the ETS/IAQ Current Developments Report.            If you have questions or information regarding items contained in this Report, please feel free to contact either of us at (816) 474-6550. Sincerely, MWC:KAM:kw Enclosure cc:          Report      Team"
"Tobacco800";"cjx9aa00";"FirstPage";"                                         174 Waverley Street Winnipeg, Manitoba R3M 3L1 Phone (204) 488-0013                                                         April 10, 1994         Ms Lorraine Poliice Treasurer         The Council for Tobacco Research - USA Inc 900 Third Avenue New York, NY 10022         Dear Lorraine         I enclose a list of expenses incurred for the April 1994 meeting of the Scientific Advisory Board. The new arrangements agreed to should, in the future, make everybody’s task considerably easier. It was so nice to have you at the dinner last Thursday evening.         Please convey my thanks to your staff for the superb support they give the members of the board. It is appreciated.         Sincerely Drummond H. Bowden"
"Tobacco800";"cjy33f00-page02_1";"FirstPage";"BROWN & WILLIAMSON TOBACCO CORPORATION                             ' ■  s       . 1500 Brown & Williamson Tower                              Louisville Galleria.P.O. Box 35090 •Louisville, Kentucky 40232                                                    -- /A-ST-fs- P/Lcf-, RöJqIfo PäO /e //c . D(Ae.c.f-oK   ■/*9Tir*Te .te-JEÄAHA cö/c$;a * Faama co$*os,« t                            -   I/M A. De( &Afl.ro,Z(                            J            7           ™   2.C7/2? HilAvo,        *>:   Dear /W. Pnelefü :     /;   .   As we have discussed, Brown,& Williamson Tobacco Corporation (""B&W"") desires to retain your Services as a scientific ; , Consultant regarding various aspects of B&W's grooved cigarette filter technology. This letter agreement is to confirm'our mutual understanding with respect to the terms and conditions under which B&W and you (""Consultant"") agree to enter into a working relationship. An additional purpose of this agreement is to protect the confidential and proprietary interests of B&W.   Consultant agrees that during the term of this agreement he. will consult with and provide Information to B&W appropriate to the field of this agreement. B&W agrees to pay Consultant for Services actually rendered a fee at the rate of $*750. £2. per AMi/day [cross out inapplicable word]. :In-addition, B&W shall ,reimburse Consultant for all reasonable and necessary .   out-of-pocket expenses actually incurred, including those for „travel, food, and lodging in connection with the performance of Services hereunder. All payments by B&W will be made monthly after receipt of Consultant's itemized invoices...................   It is recognized that as a result of the performance of Services hereunder, the parties may agree that it would be appropriate to undertake specific research projects. The scope of any such project and the fee therefor will be separately tnegotiated between the parties and are not a part of this agreement. .                                 ...   Unless otherwise authorized in writing by B&W, Consultant - agrees to maintain in confidence any information pertaining to 'this agreement provided by B&W. The parties acknowledge that ; any data or information generated or arising out of the Consulting work performed by B&W by Consultant is the property"
"Tobacco800";"cjy33f00-page02_2";"NextPage";"   •'. '•.                           ,'       3,    *,    •-      -’m   .       ••     ►>-•:            i-‘. '-1   "" '    V.v:                 v-                             ■:.:             .. "" ' ' •                         .    2                    2-     -         ""                                                       .'..':;V   •,    -  of B&W and shall be kept in confidence by Consultant. -This Obligation of confidentiality shall survive the termination of  this agreement.   ,fv:, -                                                          f-,      •- £ '                                                  --4        . ,y . .iür-i  N  If the above is acceptable to you, please indicate your acceptance by signing and dating the duplicate copies where indicated and returning one copy to B&W.                        *         „  ^ -< -         v:-           vv-         Very  truly yours,         .  W       .. . vi-M,.  r .      ‘ V-,[:'■                         BROWN & WILLIAMSON TOBACCO - ..           f. ■         CORPORATION   ;                                           ’                       Xi-A ji.ii'l i, -                          i :t.. -M-' “ , i           ;y;.- vy::-r •.- ■• ■• ■     '...v....... ■■  ,.,i                                              .  y                   •.                 .'V   v-i;,,iti.i Yt -kJ./.                                                                                                                                     .... , 3,/.f .                                                                                                                                                                                                                                                                                               VS                                                                                                                                                             rAY ■ .■*•>«•.■■■' -T .-Y.---V _                                                                                                                                                                                                                                                                                  ■-                                 Ui ACCEPTED:~     Date , j/(/[c^ cJr £2- f L°lfi £>   r:. —.'.‘Vi yKyyy'Y  -                                                                                                                                                                 )&■} ; • i —• • J ••              ’ ■   i'.’                                                                                                                                                                                                                                                                                                                                                  *■-• ~ ■-  - v                     &M V, ■■; ■ V;- ■;  f                        ^ • .^y y v"" • - T A.:e; .fef                                   - *■""•• “ ■ -■■ ■ • ■ ■ v !*■■  ... ~y/;             '.K*i  PP!#®}®?'''""” ... - . ’i ... . '*.-‘■5 ‘ ' ’*'.v „.■.ist""; '-. .fv./trY- -                                                                                                                                                                                                                                                                                                                                       t: .-.- c'j'i,.£.. - ■ rr           ■ '■■■' ■■'■'•■           ■             ::;;V:'y’.vv     -Y;r„   .t                           y-           f     ■.■,:■:■■•--X-                  -;v                 •                                                                                                                                                                                                                         •• .i-                                                                                                                                                                                                                    r^'M  rf.                                      ■.   y'                            -4                         ■-■ ■'•*•<-■•'-■*- ■■ ••-v^:-.5-.,-/.- ■ ... ■■■ .. •■         ir'^-    ”-4    ;■■•                                          J-,                                                            ,r                            ^                                                   „    .    . * _;     ■   • '-V'                       r - •-                       *             J*. :: - . ^ i                                                      «-ausSÄTS», s- -r . Y s. . .. T -.- j*-Y'Y % '&*. t 4      !-t                                                              ...v/ st*-y,3'. --•!   -   •:"
"Tobacco800";"cle30a00";"FirstPage";"                                       174 Waverley Street Winnipeg, Manitoba R3M 3L1 Phone (204) 488-0013 \                                                                                                                     20 * 0 0 1 1 7 • 4 5  002  February 20, 1995                                                             1 37 * 45 6,000*00                                                                      mm Ms. Lorraine Pollice                                                          6,137 Treasurer, The Council for Tobacco Research 900, Third Avenue New York NY 10022 Dear Lorraine Back in Winnipeg after a short holiday in Puerto Rico, its time to gather my thoughts and clear my desk, The meeting at the Dorado Beach Hotel was very good and we certainly appreciated the opportunity to visit an off-shore isiand. My expenses associated with the trip are small; one requires explanation and it may not be allowable. The plane from Minneapolis left for San Juan at 07.30; this meant travelling from Winnipeg the previous evening and taking an hotel near the airport. I have enclosed the bill for this expenditure. EXPENSES: Taxis to and from Winnipeg     airport:        $ 20 Hotel at Minneapolis:                          $ 117.45 TOTAL                                          $137.45 ^ Now I get down to the grant reviews for the April me With best wishes Sincerelv Check # Mflä DafÖ--------            br Payment— *j_. ,        , “elivery  ±WEEiScC 'c< SL-s ^ i.  k.- Drummond H. Bowden"
"Tobacco800";"cmw13f00";"FirstPage";"      o  BHOWN & WILLIAMSON TOBACCO CORPORATION                            A membcr of Ihr BATUS Group              1600 lies; Hill Street 'P. 0. Box 35090'Louisville, Kentucky 40232                                           January 26, 1984  Ms. Rhea Riegel MARKET FACTS, INC.  676 North St. Clair Street Chicago, IL 60611  Dear Rhea:                                                                                  t                                                                                 >  This letter constitutes formal authorization for Market Facts, Inc. to conduct the following product tests:                                                    Scheduled  Project ff ($) Dollar Quote Ship Date Placement Toplines Normal Accelerated 1983-146 35,000  N/A   1/30 2/3 3/5 (Normal)        1983-316 35,500 39,400 1/30 2/3 2/20 (Accelerated)  1983-276 29,500 32,000 1/30 2/3 3/5 (Normal)         If this does not correspond with your records, please call. Thanks. Sincerely,  DAB:db 670540787"
"Tobacco800";"cmw44e00";"FirstPage";"   NOV. 0 $76                                                                   PHILIP MORRIS ^                          EUROPE MIDDLE EAST AFRICA                                                TELEPHONE : (021) 27 13 11 CASLE: SWIPOLD LAUSANNE TELEX:25025 2003 NEUCHATEL S WITZ ER LAND                                              Mr. Jerry Osmalov PHILIP MORRIS USA 1 Research + Development P.O. Box 26583 Richmond, Va. 23261 / U.S.A                                                                     Neuchätel, November 23, 1976/JBB/bam Dear Jerry,                                              .                                             - ■ . . Please find enclosed an evaluation. of the Testron Densimeter. As the working perflormance of this. apparattus is no better than that of the Standard PM. method (cylinder volume), no further                   v trials will be undertaken. with this device. Should you., however, - _i be interested in it, we can send1 the apparatus on to. you in Rieh- . mond.                                                  '                                                 » "" ■■ ■■                                 Hoping: that this information will be of help to you, with best regards Encl. ment. cc :    Messrs.  F.A. Lowman                  J.W. Lloyd R. B. Seligman1 W: Gannon ) Yours very truly                   E.  Stoop"
"Tobacco800";"cnk41e00-page02_1";"FirstPage";"                                                                                                                                             1  UORIIlLARD.INC. Research Center, 420 English Street, P.O Box 21688, Greensboro, North Carolina 27420-1688 November 14, 1986 Dr. Raymond M. David Microbiological Associates Inc. 5221 River Rd. Bethesda, MD 20816 Dear Ray: We have received your letter with the photocopied pages de-scribing a non-parametric multiple comparison test. This test is similar to one described in Zar's Biostatistical Analysis (1984), but Zar's descriptions and explanations for the use of this and other tests appear more thorough and comprehensive. I have enclosed his chapter on ""Multiple Comparisons"" and several tables required to determine the significance of the testedi data. Over the past two months we have been reviewing the Statistical procedures used in our studies and are requiring all of our laboratories to implement changes in statistics where needed. Several involve the use of the multiple comparison procedures enclosed. Franklin and' I have just completed a review of the Statistical tests employed in the Six-Week Inhalation Study and have the following comments: (1) We feel that a post hoc procedure other than multiple Mann-Whitney U-tests would be more appropriate after statistically significant Kruskal-Wallis tests. The chapter fromi Zar (1984) describes a Tukey-type nonparametric multiple comparison test which appears very similar to the one you recently sent us. Zar also describes alternative tests which are used when sample sizes are equal or if tied' ranks are present. We can discuss which test we will use after you have looked them over. (2) Because percent carboxyhemogilobin measurements are part of               / the criteria for determination of a valid test, it is important only to demonstrate that each' individual smoke-exposed group exhibits statistically greater percent COHb values compared to the sham grou£. ; In other words, a non-parametric multiple treatment vs. one control test is required. Zar describes a non-parametric equivalent of Dunnett1s Test (p.201) which can be used for this purpose. We have a Computer program (Fortran) which can perform this test if it is compatible with your system. 80193086"
"Tobacco800";"cnk41e00-page02_2";"NextPage";"■f (3)  The validity of Analysis of Variance rests on several key       assumptions including: homogeneity of variance and normality. We were wondering if your Statistical programs test the data for these assumptions before the ANOVA is carried out? If not, perhaps a test for homogeneity of variance and a test for normality on all data that are to be tested with ANOVA is in order. Some parameters (e.g. enzyme concentrations), currently being tested by Kruskal- Wallis, may be more appropriately tested by ANOVA unless you have historical data which indicates that these are more appropriately handled by non-parametric statistics. We can discuss the Statistical treatment of these parameters at a later time. We are in the process of reviewing the statistics used in other studies under your direction. We will be contacting you soon to discuss our conclusions as well as changes to be made in the analysis of the ""Six-Week"" studies. If you have any questions or comments, please feel free to call.                                                                                                                                                                        ,1 Thomas A. Vollmuth, Ph.D. Toxicologist, Life Sciences TAV/lp:1 - 2 - 80192087"
"Tobacco800";"cpi68d00";"FirstPage";"Mr. A. G. Moore ’ *                     Weekly Report:      May  21  thru 25.  1973 Project 2903 G-7 - Use of Concentrated G-7 Extract       Whlle waiting for the cigarette test results on TPD-65-1, another 55 gal. drum and spray circulating pump have been Installed for the No. 4 Dryer extract sprays at the first pass outlet.       The slSCenson Co. technical sales representative, who sold us the extract evaporator now in use in the 603 G-7 Plant, reviewed our requirements for a similar but larger evaporator for the combined extract at 90-3 and 92-2 Buildings. He will give us a firm proposal for a unit to evaporate 15,000 lbs. of water per hour and a scaled down cost for 12,000 and 9,000 lbs. of water per hour rates. The original system which was bought to evaporate 5,200 lbs./hr. of water is now evaporating about. 8,500-9,000 lbs./hr. primarily because the steam-side tempera-ture for the heater is operated at About 210°F. insteadof the 162°F. ln original specifications. It was pointed out to the representative that he could design for use of the higher steam temperature."
"Tobacco800";"cpz95d00-variant_1";"FirstPage";"  Childrens Hospital   Division o'i ;nninii],iltig\   Harvard Medical Schot?!   LVpjrlmjiil of Pcdiairics                Ctiild|-en!s Hospital                aÜU Djügv,ooii Avenue: ßosion, MA (Di IS t:iV 775 7f.02 r.] ('-7D-R;0S iThm                                                                         April 2, 1993 Harmon C. McAllister, Ph.D.                                       _ Research Director                                                       !     SW The Council for Tobacco Research                             '                 - 900 Third Avenue New York, NY 10022 Dear Dr. McAllister: Case number 3986: Progress report         Since submitting the above referenced grant application, we have obtained additional data on the association between FcyRI and FceRIy, and we have determined the identity of a src-type protein tyrosine kinase which becomes hyperphosphorylated following FcyRI engagement. 1. FcyRl-associated FceRIy is a disulfide-linked homodimer         In our preliminary data, we demonstrated that a c. 14 kD protein is co-precipitated with FcyRI by anti-FcyRI mAb 197 from digitonin lysates of 125I-labeled THP-1 cells. This protein co-migrated with FceRIy and was recognized by an anti-FceRIy mAb, 4D8. We have since performed two-dimensional nonreducing-reducing gel electrophoresis on mAb 197 and mAb 4D8 immunoprecipitates from THP-1 cells. As shown in Figure 1, both mAb precipitate a spot (indicated by arrow) migrating below the diagonal, indicating a disufide-linked homodimer. This result provides further confirmation of the identity of the 14 kD FcyRI-associated protein and FceRIy. The role of FceRIy homodimer formation in FcyRI signaling will be further addressed in mutational studies, as detailed in the proposal.  3 &  *  ■i  i anti-Fc^RI anti-FceKI* Figure 1. (Original attachedV Co-precipitation of FcvRI with the gamma Chain of FceRI in 1% digitonin lvsates of 1251-labeled THP-1 cells. Lysates were immunoprccipitatcd with mAb 197 (anti-FcyRI, left hand panel), or with mAb 4D8 (anti-FceRIy, right hand panel), and analyzed by two dimensional nonreducing/rcducing gel electrophoresis and autoradiography. First dimension (nonreducing) runs from left to right; second dimension (reducing) runs from above to below. Arrow in left hand panel indicates position of c.14 kD off-diagonal spot. noniedncing - 1111 ""  m-                                     "
"Tobacco800";"cpz95d00-variant_2";"NextPage";"2. Hyperpkosphorylation ofthe src kinase hck induced by FcyRI engagement         To assay for src kinase activation following FcyRI engagement, we used a panel of rabbit anti-peptide antisera generated in our laboratory that react specifically with different src family protein tyrosine kinases, including hck.fgr, lyn, and src, all of which are expressed in monocytes. We made use of a sensitive in-situ kinase assay to detect autophosphorylation of src PTK, which accompanies their activation. THP-1 cells were stimulated with anti-FcyRI mAb 197, then permeabilized with cx-lysophosphatidylcholine and incubated on ice in the presence of 32P-y-ATP. Cells were then subjected to detergent lysis and immunoprecipitation with the different anti-src antisera. As shown in Figure 2, we detected an increase in phosphorylation in hck in THP-1 cells within 30 seconds of Stimulation by anti-FcyRI mAb. In contrast, we did not detect increases in phosphorylation of other src PTK (not shown). These results suggest that activation of the PTK hck is coupled to FcyRI engagement. We are currently evaluating the physical association of src kinases with FcyRI. Our preliminary data suggest that hck and lyn are present in anti-FcyRI immunoprecipitates from THP-1 cells and peripheral blood monocytes, as detected by immunoblotting.   Figure 2. fOriginal attached!. Hvperphosphorvlation of the src kinase hck induced bv FcyRI engagement in THP-1 cells. In situ kinase assay was performed as described in text. Anti-hck immunoprecipitates from lysates of cells stimulated for between 0-5 minutes (as indicated) were analyzed by gel electrophoresis and autoradiography. M.W. markers (right hand lane) are at 92,69 and 46 kDa. Four other experiments gave similar results.         I trust that this information will be helpful to the reviewers of the application. 0 20""4<r 1' 2' 5' Sincerely yours;"
"Tobacco800";"cqc13f00";"FirstPage";"BROWN & WILLIAMSON              r» r>T » 7 TOBACCO CORPORATION                  £>0lW March 26, 1992 Dr. Ismar Volpon Cia. De Cigarros Souza Cruz Centro De Pesqui Av. Suburbana 20 21050 - Rio de Janeiro - RJ Brazil sas E Desenvoluimento 66 Dear Dr. Volpon: Reference:    FlaVor   for World-Wide  BEST   Project I am sending two components of a flavor BBC-889 that we find very encouraging. These components are BBC-884 and BBC-900 and the flavor BBC-889 is made dp as follows:                                              Per 10   ml                       BBC-900                   0.605 gm                       BBC-884                  1.0 ml                       GOLIC                      Q.S. 10 pl of this flavor when injected into a cigarette having a tobacco weight of 760 mg gives the appropriate level of flavor. I will discuss these flavors at the forthcoming flavorists' seminar in Germany. Under separate cover, I am also sending a pack of our blank injected with this flavor for your comments. The purpose of sending the flavors is for you to inlcorporate your experience into these flavors to make up any deficiency that you might perceive in our product when smoked against Marlboro. You already have our blanks (327562) to work with. If you find something promising, I would certainly like to evaluate it here. Regards, I B. B. Chakraborty BBC/sek/p3el087.wp cc:   L. T.   Caruso       R. F. Denier  1500 BROWNS WILI.IAMSON TOWER. HO. BOX 35000. I.OUISVIU.E. KY 40232. (502| r.0B-7000                                                599009178"
"Tobacco800";"cqt45f00-page02_1";"FirstPage";"THE AMERICAN TOBACCO COMPANY AMERICAN  BULL  DLTRHAM CARLTON LL/CK'Y STRIKE  MA1JBU        MJSTY    MONTCLAIR   P.ALL MALL   TAREYTON                              February 22, 1993 Mr. Alan Sherman Database Services Manager Clarion Marketing & Communications 340 Pemberwick Road Greenwich, Connecticut 06831 Dear Alan, As we discussed, I have attached copies of our Direct Marketing Budget for 1993 and our database update schedule. These items may help you get up to speed quickly. Some of the other things that we discussed you may want to follow-up on. They are as follows: • * Procedures Manual on database processes with MIT (Janice Liscinsky started working       with them on this). • Cost and lead time guidelines for list pulls, database counts and other database-related projects. • We started using a new process of sequentially-coding preprinted bouncebacks and then later matching them up to pincodes of respondents. This process was used for MONTCLAIR Trial #1 and the CARLTON Challenge bouncebacks but we are not yet sure that this process worked. We’d like to know how successful this has been soon. • Response/recommendation back to us on why our Nixie rates have been increasing. • * Monthly Tracking Report Information on how many names are new and how many       names were updated by PM tape (started working with Susan Levey on this).          S1X StTAWFORD FORUM P.O. BOX 10380          STAMFORD CONNECTICUT 069C4-2JSO  TELEPHONE: Z0J J ZS 4900 FACSIM1LE: AH 35Z8K.4"
"Tobacco800";"cqt45f00-page02_2";"NextPage";"Mr. Alan Sherman February 22, 1993 Page 2 • Possibly explore a user-friendly query package that we could use to tap into our database. Please add the starred (*) items to the Weekly Status Report so we can keep track of them. Other on-going projects are included in this report and updated weekly. Let me know if you have any questions. MH/kl Attachment cc: Mr. K. P. Noone      Mr. H. Goldfrach - CMC Mr. B. Sideroff - CMC Ms. L. Wamecke - CMC Thank you. Sincerely, Meleisa Holek Manager, Direct Marketing"
"Tobacco800";"crr09c00_1";"FirstPage";"                         Ii Harley-Davidson Motor Co., Inc., 3700 w. Juneau Ave., RO. box 653, Milwaukee, W[ 53201 414/342-4680                                                 April 24, 1986 Mr. Ronald Goldbrenner Lorillard, Inc. 666 Fifth Avenue New York, New York 10019 Dear Ron, Enclosed are three copies of each of the following documents:     hand marked-up Version of the 4/10/86 draft of the License Agreement typed draft of the ""final"" Agreement There are two minor changes that I made which we did not have a chance to discuss:     the last phrase in Paragraph l(e),     the words ""Except as limited in this sentence"" in Paragraph 13 I trust that neither of these changes will give you any problem. If the Agreement is okay with you, we will run off two Originals with all the Exhibits and arrange a day for the signing. Very truly yours,  Jeffrey L. Eleustein  Vice President - Parts and Accessories                                                                                                            CT»                                                                                                            on                                                                                                            O                                                                                                            ""•0                                                                                                            o\                                                                                                            Ü                                                                                                            00 /pat Enclosures"
"Tobacco800";"crr09c00_2";"NextPage";"RECEIVED   APR 2 5 1986  Ä. & STEVENS                     vO                           cn                           o                           On                           o                           VO"
"Tobacco800";"cry54f00_1";"FirstPage";"THE                                         Memorandum AMERICAN TOBACCO COMPANY Trj Mr. R. S. Sprinkle, III                                Date 4/7/92     Executive Vice President - Research and Quality Assurance From ^  ^  ■ Ligon     General Manager - Leaf Purchases R;ij Tobacco Samples Enclosed are tobacco samples on which we would appreciate your sending us an analysis:                  From:   Casalee  America                          Winston-Salem, NC                               CHINESE BURLEY                                       Dealer's Grade   Our  Grade  crop  Quantitv  Price (cwt)  SBT  SVB   KF   KF  1991  1991  220.000 lbs.       $2.05  110.000 lbs.        1.95 Packed in Cases RHL:MKH G2-92 	 cc:   Mr. R. M. Bouse       Mr. J. H. Hager"
"Tobacco800";"cry54f00_2";"NextPage";"RECEIVED APR 7 Ws DEPT. OF R & QA"
"Tobacco800";"csj50c00";"FirstPage";"                     PHILIP MORRIS                                                                 COMPANIES INC.                                                   120 PARK AVENUE • NEW YORK, NY 10017-5592 Geoffrey G. Bible      CHAIRMAN AND CHIEF EXECUTIVE OFFICER               I am pleased to present you with a copy of our 1997 Annual Report. As you read it, you will see why I believe that we stand at the threshold of a new era.               Last year, we broke new ground in an attempt to resolve controversial issues facing our domestic tobacco business, as well as achieved other goals for our businesses and our shareholders. We believe that last year's proposed legislative resolution of many Iitigation and regulatory issues facing the United States tobacco industry can restore a measure of stability to our environment, so that we can properly be valued as an outstanding growth Company, an employer of choice and a good corporate Citizen.               I am proud to have you with us as we work to resolve important public policy issues, while responsibly and vigorously building our businesses and increasing returns to our investors.                                                                             Geoffrey C. Bible Chairman of the Board and Chief Executive Officer TI3148-9006"
